loc,is_unused,contains_sensitive,num_params,cyclomatic_complexity,commit_count,code_churn,days_since_last_edit,author_count,recent_modification,usage_score,activity_score,importance_score,sensitivity_score
180,1,1,1,20,44,816,1105,10,0,0,0,3,3
228,0,0,0,5,27,261,16,3,1,3,3,1,0
88,1,0,1,14,30,1190,146,5,0,0,1,1,0
138,1,0,3,20,33,559,774,2,0,0,0,2,0
45,1,1,1,16,25,1254,775,9,0,0,0,2,2
259,0,1,2,12,30,567,7,12,1,3,3,3,3
8,0,0,6,9,59,1171,360,8,0,3,1,2,0
252,1,1,2,5,40,133,719,8,0,0,0,2,3
51,0,0,0,15,45,823,165,8,0,3,1,2,0
160,1,1,5,13,60,111,342,3,0,0,1,3,3
50,1,0,0,2,22,1250,236,5,0,0,1,0,0
14,0,0,1,9,0,283,524,3,0,1,0,0,0
101,0,1,1,13,6,1302,1164,8,0,2,0,3,3
89,1,1,6,16,10,1345,811,6,0,0,0,3,3
128,1,0,5,1,8,1327,752,12,0,0,0,3,0
264,1,0,3,16,47,459,296,4,0,0,1,2,0
259,0,0,4,13,54,562,279,3,0,3,1,3,0
93,0,0,5,1,52,1210,1191,5,0,3,0,1,0
8,0,1,2,7,7,868,970,12,0,2,0,1,2
156,0,0,2,19,13,15,614,1,0,2,0,2,0
175,0,0,1,2,25,664,147,4,0,3,1,1,0
148,0,0,6,16,6,1213,1016,10,0,2,0,3,0
65,1,0,2,10,3,394,995,8,0,0,0,1,0
291,0,1,4,16,23,1495,543,1,0,3,0,3,3
294,0,0,6,17,13,1102,1038,12,0,2,0,3,0
138,0,1,3,13,0,882,386,11,0,1,0,3,3
276,1,1,3,2,56,317,778,3,0,0,0,1,3
113,0,0,5,7,54,572,1066,2,0,3,0,2,0
56,1,0,0,2,50,1104,1148,5,0,0,0,0,0
101,0,0,1,8,54,837,121,4,0,3,1,1,0
93,1,1,3,2,15,435,329,7,0,0,1,1,3
285,1,1,5,15,10,756,1073,4,0,0,0,3,3
78,0,1,6,9,39,1228,204,9,0,3,1,2,3
59,0,1,3,19,14,62,566,9,0,2,0,2,3
75,1,1,2,10,60,674,784,9,0,0,0,1,3
15,1,1,1,8,37,39,176,9,0,0,1,1,2
14,1,1,0,15,17,941,1062,6,0,0,0,2,2
47,1,0,1,8,13,454,1054,6,0,0,0,1,0
179,0,0,6,19,42,719,36,10,0,3,2,3,0
278,0,0,2,6,2,444,438,1,0,1,0,1,0
299,1,0,6,2,34,722,539,2,0,0,0,2,0
80,1,1,0,7,43,845,462,4,0,0,0,0,3
235,1,0,6,19,2,488,715,12,0,0,0,3,0
156,0,1,3,8,3,1422,403,10,0,1,0,2,3
100,0,0,1,14,60,369,610,2,0,3,0,1,0
198,0,1,5,5,1,1324,226,3,0,1,1,2,3
85,0,0,4,11,40,496,522,8,0,3,0,3,0
6,0,0,2,19,7,848,145,9,0,2,1,2,0
86,1,0,1,5,30,1393,606,6,0,0,0,1,0
30,1,0,2,12,10,999,997,6,0,0,0,2,0
219,0,1,3,8,12,250,1178,3,0,2,0,1,3
41,1,1,2,13,45,1229,1082,10,0,0,0,2,2
101,0,0,2,5,54,1232,809,8,0,3,0,2,0
193,0,0,4,4,42,1330,1062,11,0,3,0,3,0
247,1,0,5,7,25,1423,795,1,0,0,0,2,0
157,0,0,6,6,52,1070,792,2,0,3,0,2,0
8,1,1,4,19,15,844,515,6,0,0,0,3,2
34,0,0,2,20,52,325,381,1,0,3,0,1,0
161,1,1,5,19,18,1073,405,8,0,0,0,3,3
30,1,1,6,12,51,77,87,3,0,0,2,2,2
269,1,1,2,12,56,1285,1005,11,0,0,0,3,3
72,0,0,6,17,55,979,487,9,0,3,0,3,0
39,1,1,6,17,5,1242,1123,11,0,0,0,3,2
111,1,0,0,17,58,843,399,11,0,0,0,3,0
266,1,0,2,12,40,807,52,4,0,0,2,2,0
80,1,0,5,3,20,911,977,12,0,0,0,2,0
121,1,1,3,13,12,290,91,5,0,0,1,2,3
163,1,1,6,6,30,674,1070,10,0,0,0,3,3
131,1,0,3,8,30,718,943,11,0,0,0,2,0
37,0,1,0,2,52,861,579,11,0,3,0,1,2
43,0,1,5,8,38,357,564,5,0,3,0,1,2
199,0,1,2,18,50,822,429,1,0,3,0,2,3
130,1,0,0,3,51,150,166,11,0,0,1,2,0
157,1,0,3,12,39,822,1190,8,0,0,0,3,0
83,1,1,4,5,19,1238,827,1,0,0,0,1,3
78,0,1,5,6,27,1454,422,3,0,3,0,1,3
299,0,1,2,14,44,467,455,8,0,3,0,3,3
250,0,1,1,20,39,1121,497,3,0,3,0,2,3
91,0,1,3,6,9,349,1147,6,0,2,0,1,3
106,1,1,2,13,11,1153,357,5,0,0,1,2,3
211,1,1,2,16,3,280,482,4,0,0,0,2,3
292,0,0,4,15,19,1212,1176,4,0,2,0,3,0
166,1,1,1,2,11,268,325,2,0,0,1,1,3
48,1,1,6,5,58,1438,957,7,0,0,0,2,2
132,1,1,0,10,38,490,1023,4,0,0,0,1,3
123,1,0,4,3,42,269,1032,5,0,0,0,2,0
143,1,0,1,16,44,1081,1188,6,0,0,0,3,0
230,0,0,4,1,10,1155,334,12,0,2,1,3,0
91,1,0,3,16,52,836,538,4,0,0,0,1,0
129,1,0,1,3,20,704,104,9,0,0,1,2,0
230,0,0,5,10,51,386,981,7,0,3,0,3,0
183,0,0,4,20,5,1397,108,10,0,2,1,3,0
229,1,1,4,3,59,524,422,1,0,0,0,2,3
155,1,0,2,19,50,1010,828,10,0,0,0,3,0
150,1,0,1,16,57,622,337,12,0,0,1,3,0
109,1,1,2,9,31,402,687,7,0,0,0,2,3
112,0,1,0,6,26,1447,216,10,0,3,1,2,3
85,0,1,4,6,14,1332,1144,6,0,2,0,2,3
15,0,1,3,16,25,522,904,9,0,3,0,2,2
121,0,1,1,1,48,302,504,2,0,3,0,1,3
6,1,1,2,18,53,1473,1115,1,0,0,0,1,2
271,1,0,6,3,20,951,511,2,0,0,0,2,0
81,0,0,4,3,46,232,874,7,0,3,0,2,0
22,1,1,3,11,22,8,565,12,0,0,0,2,2
259,1,0,6,6,31,702,1094,12,0,0,0,3,0
259,1,0,1,17,42,1271,820,2,0,0,0,2,0
34,1,1,5,17,32,1083,220,10,0,0,1,3,2
258,0,1,5,9,52,397,367,2,0,3,0,2,3
201,1,1,5,13,45,640,76,11,0,0,2,3,3
244,1,1,1,11,38,356,455,11,0,0,0,3,3
221,0,1,6,3,33,129,680,12,0,3,0,3,3
26,0,0,0,12,20,479,1001,3,0,3,0,1,0
72,0,1,3,7,4,396,561,11,0,1,0,1,3
71,0,0,5,12,48,848,686,5,0,3,0,2,0
136,1,1,1,5,45,48,529,6,0,0,0,2,3
16,0,1,4,8,27,812,20,3,1,3,3,1,2
40,1,0,1,11,47,137,429,6,0,0,0,2,0
201,1,0,2,4,16,1432,49,1,0,0,2,1,0
275,1,1,5,3,22,222,987,6,0,0,0,3,3
9,0,1,2,7,15,100,314,12,0,2,1,1,2
165,0,1,5,16,26,1486,224,8,0,3,1,3,3
13,0,0,3,4,56,778,1079,11,0,3,0,1,0
182,1,0,3,18,21,1172,80,10,0,0,2,3,0
275,0,0,5,11,28,149,392,10,0,3,0,3,0
182,1,0,4,15,3,1413,163,3,0,0,1,3,0
210,1,0,0,11,8,1321,328,11,0,0,1,3,0
241,1,0,2,9,33,727,881,1,0,0,0,1,0
257,0,1,2,13,48,584,585,1,0,3,0,2,3
188,0,1,5,6,29,672,874,1,0,3,0,2,3
39,1,0,5,4,55,670,1181,4,0,0,0,1,0
174,1,0,4,11,48,658,286,6,0,0,1,3,0
248,1,1,2,19,13,787,646,2,0,0,0,2,3
192,0,0,2,9,44,1488,847,1,0,3,0,1,0
150,1,0,6,3,40,159,514,7,0,0,0,3,0
10,0,0,2,11,11,1198,1160,4,0,2,0,1,0
38,1,0,1,1,6,703,1,4,1,0,3,0,0
167,0,1,0,7,58,1020,902,2,0,3,0,1,3
71,0,0,0,18,6,409,831,12,0,2,0,2,0
245,1,1,5,15,39,655,338,2,0,0,1,3,3
50,1,0,1,10,28,350,77,2,0,0,2,0,0
21,0,0,6,2,42,1375,211,7,0,3,1,2,0
87,0,1,5,1,38,177,738,8,0,3,0,2,3
205,1,1,0,16,37,1451,383,3,0,0,0,2,3
226,0,1,6,7,52,469,933,1,0,3,0,2,3
232,0,0,6,15,39,831,750,4,0,3,0,3,0
199,0,0,2,17,39,1193,484,8,0,3,0,3,0
50,1,0,5,11,21,479,973,6,0,0,0,3,0
72,1,0,4,16,0,1118,586,2,0,0,0,2,0
72,0,1,0,17,60,1199,82,7,0,3,2,2,3
175,0,1,1,7,22,1449,877,8,0,3,0,2,3
133,0,0,0,10,11,591,704,8,0,2,0,2,0
190,1,0,2,11,48,47,156,8,0,0,1,3,0
220,1,0,1,3,28,212,846,8,0,0,0,2,0
49,1,1,2,17,3,1246,298,8,0,0,1,2,2
146,1,1,6,7,11,1188,881,11,0,0,0,3,3
215,1,0,6,16,37,1319,72,7,0,0,2,3,0
145,1,0,1,8,7,1484,686,10,0,0,0,2,0
52,1,1,6,8,23,974,104,5,0,0,1,1,3
210,0,0,2,16,48,1435,1009,1,0,3,0,2,0
35,1,0,1,14,10,144,638,2,0,0,0,1,0
86,0,1,6,5,58,1318,1168,9,0,3,0,2,3
84,0,0,3,7,55,751,684,11,0,3,0,1,0
208,0,1,5,5,12,356,395,4,0,2,0,2,3
93,0,1,1,10,52,940,512,6,0,3,0,1,3
11,0,1,3,2,7,359,717,4,0,2,0,0,2
74,0,0,4,18,30,513,814,1,0,3,0,2,0
270,0,0,4,16,52,166,468,2,0,3,0,3,0
178,1,1,4,1,24,1055,600,10,0,0,0,3,3
43,0,0,3,14,6,556,1040,5,0,2,0,1,0
108,0,0,2,13,10,787,793,5,0,2,0,2,0
112,0,0,2,4,30,790,1182,3,0,3,0,1,0
226,0,0,4,18,13,128,652,11,0,2,0,3,0
156,0,1,6,10,28,549,407,8,0,3,0,3,3
286,1,1,1,5,10,240,509,8,0,0,0,2,3
43,0,0,6,11,7,1058,962,9,0,2,0,3,0
200,0,0,6,15,58,729,484,4,0,3,0,3,0
71,0,0,1,13,18,621,438,5,0,2,0,1,0
134,1,1,5,4,19,874,810,1,0,0,0,2,3
145,1,1,1,15,26,907,902,9,0,0,0,3,3
30,0,1,1,4,39,1450,215,5,0,3,1,0,2
215,1,1,6,19,19,1229,858,3,0,0,0,3,3
213,1,0,3,8,40,1007,1045,9,0,0,0,2,0
239,1,0,2,16,16,615,760,8,0,0,0,3,0
269,1,1,0,12,3,378,795,10,0,0,0,3,3
68,1,1,5,1,20,1284,208,8,0,0,1,2,3
215,0,1,4,13,44,500,358,12,0,3,1,3,3
240,0,1,3,20,9,365,576,2,0,2,0,2,3
208,1,1,6,11,29,741,1064,9,0,0,0,3,3
127,1,1,0,4,33,1256,401,2,0,0,0,1,3
238,0,0,0,5,9,1334,1054,11,0,2,0,2,0
188,1,1,2,9,33,1109,877,6,0,0,0,2,3
212,1,1,2,15,60,1125,142,10,0,0,1,3,3
245,1,1,3,13,36,722,128,5,0,0,1,2,3
172,0,1,3,14,3,151,45,11,0,1,2,3,3
122,0,0,3,12,20,788,201,10,0,3,1,3,0
