loc,is_unused,contains_sensitive,num_params,cyclomatic_complexity,commit_count,code_churn,days_since_last_edit,author_count,recent_modification,label
158,0,1,4,16,52,843,500,2,0,5
152,1,1,0,19,30,1112,1101,9,0,7
36,1,1,0,18,59,404,330,8,0,7
10,0,1,6,14,22,1304,679,11,0,5
48,0,0,5,11,9,612,699,1,0,1
132,0,0,4,12,58,242,1186,3,0,1
84,0,1,4,18,26,566,42,4,0,5
220,1,1,4,5,5,987,805,10,0,7
163,0,1,2,14,20,1059,590,7,0,5
176,1,1,3,2,8,771,195,12,0,7
262,1,1,4,16,43,39,761,10,0,7
42,1,1,4,5,55,1257,1025,2,0,7
243,0,1,6,19,17,1382,523,8,0,5
296,1,1,2,18,54,829,90,6,0,7
17,0,0,1,16,30,1220,966,2,0,1
102,1,0,5,5,45,1112,168,1,0,3
169,0,1,4,3,6,857,441,7,0,5
251,1,1,4,5,24,1437,122,4,0,7
204,1,0,1,6,47,1473,370,2,0,3
141,0,0,3,13,36,1450,203,1,0,1
187,0,1,0,1,50,125,339,3,0,5
29,1,1,2,6,49,90,337,5,0,7
107,1,0,3,10,43,485,172,3,0,3
78,1,0,2,14,41,1418,543,10,0,3
224,1,0,1,19,21,137,22,10,1,2
129,1,1,6,15,47,1307,1051,1,0,7
72,0,0,5,18,12,1458,945,5,0,1
6,1,1,6,3,44,922,662,3,0,7
127,0,0,1,8,31,1156,649,10,0,1
58,1,0,3,9,27,1315,1069,5,0,3
231,1,1,1,17,32,160,107,3,0,7
277,1,1,5,3,22,447,590,8,0,7
74,0,1,1,19,58,881,311,6,0,5
206,1,1,6,10,46,18,136,9,0,7
32,1,0,6,6,12,374,374,10,0,3
134,1,1,2,6,34,223,1183,6,0,7
44,0,1,6,7,16,589,305,4,0,5
154,1,0,6,10,56,1137,31,6,0,3
144,1,1,5,14,9,630,214,9,0,7
152,1,0,2,8,41,26,923,1,0,3
15,1,0,2,16,31,1146,1159,3,0,3
279,1,0,0,10,10,438,27,1,1,2
39,0,0,2,2,13,1125,463,11,0,1
68,0,0,5,13,44,889,1097,11,0,1
233,0,0,4,13,32,1336,424,11,0,1
238,0,1,2,12,0,1289,496,9,0,5
189,0,1,3,2,0,194,720,11,0,5
129,0,1,5,2,51,404,802,2,0,5
171,0,0,4,2,57,900,801,7,0,1
5,1,1,6,2,58,641,459,6,0,7
33,0,1,6,20,23,8,700,4,0,5
26,1,0,5,6,14,846,663,7,0,3
230,1,1,1,16,49,1368,1192,2,0,7
204,0,0,1,4,54,846,1056,12,0,1
47,1,0,1,19,23,1093,230,7,0,3
148,1,0,0,8,58,177,335,10,0,3
147,1,1,2,8,26,398,539,8,0,7
182,0,0,0,1,39,1134,395,1,0,1
175,0,1,5,12,58,1341,751,2,0,5
25,1,1,4,12,48,1281,170,1,0,7
257,0,1,5,4,34,307,928,2,0,5
279,0,1,6,14,30,868,976,1,0,5
147,1,0,2,11,55,1450,1152,8,0,3
124,0,0,6,12,14,586,1095,1,0,1
127,1,1,3,13,52,986,460,4,0,7
19,1,1,3,6,37,594,998,1,0,7
67,0,1,5,7,17,615,1051,3,0,5
125,1,0,0,2,2,619,515,4,0,3
32,0,0,4,7,20,616,498,11,0,1
200,1,1,6,15,20,317,277,3,0,7
151,1,1,4,4,1,105,473,1,0,7
238,0,1,2,18,47,1391,91,8,0,5
263,1,0,6,14,9,694,171,1,0,3
88,0,1,5,13,37,93,625,10,0,5
46,0,0,5,3,58,594,9,8,1,0
113,1,0,2,12,28,156,941,5,0,3
137,1,0,6,12,55,482,781,9,0,3
12,0,0,0,5,57,869,996,11,0,1
67,0,0,0,10,25,1404,1099,7,0,1
265,0,0,2,1,13,367,657,9,0,1
13,0,1,0,12,38,64,678,11,0,5
116,0,0,3,6,6,1228,151,5,0,1
208,1,0,2,15,52,1060,275,5,0,3
176,1,0,6,19,13,131,394,4,0,3
82,0,0,3,1,37,1057,469,9,0,1
187,0,1,4,1,53,1428,669,5,0,5
292,1,0,3,14,51,124,649,6,0,3
21,1,1,1,10,15,412,29,8,1,6
284,1,0,2,8,31,388,953,3,0,3
257,0,0,0,5,20,412,262,3,0,1
154,0,0,3,20,23,1305,1082,10,0,1
16,0,0,2,1,0,1458,1164,5,0,1
285,0,1,6,7,18,36,16,6,1,4
176,1,0,6,6,49,176,867,2,0,3
239,0,1,0,11,20,1425,1020,5,0,5
223,0,1,3,13,28,574,152,9,0,5
150,1,1,5,6,15,856,363,4,0,7
40,0,0,5,2,46,759,807,7,0,1
43,0,0,4,3,34,375,678,9,0,1
21,0,1,0,10,42,949,573,11,0,5
87,0,0,0,13,24,89,816,10,0,1
73,0,1,6,11,57,672,921,8,0,5
126,0,0,6,6,5,744,32,3,0,1
28,1,0,4,18,1,1293,838,3,0,3
122,1,0,1,1,55,355,708,2,0,3
66,1,0,6,9,4,587,12,4,1,2
40,1,1,3,4,0,481,707,9,0,7
187,1,1,6,14,33,1443,558,7,0,7
188,0,0,6,2,25,653,881,12,0,1
266,1,1,1,12,17,1287,184,3,0,7
203,1,1,5,16,38,970,440,3,0,7
263,0,0,1,18,16,1448,1100,6,0,1
179,0,1,4,6,32,829,843,11,0,5
153,0,1,5,2,39,274,64,10,0,5
185,0,1,6,13,14,424,945,12,0,5
165,0,1,1,13,8,267,229,3,0,5
87,0,1,2,14,56,211,1090,1,0,5
143,0,1,4,12,58,598,259,7,0,5
300,1,1,1,2,48,33,202,3,0,7
